Timestamp(ms),Corrente(mA)
185331,-35.20
185444,-29.80
185557,-36.10
185670,-33.50
185783,-30.10
185896,-31.50
186009,-34.90
186122,-30.00
186235,-29.80
186348,-35.00
186461,-34.80
186574,-30.10
186687,-34.20
186800,-35.80
186913,-30.10
187026,-29.90
187139,-30.20
187252,-29.90
187365,-29.80
187478,-35.40
187591,-30.20
187704,-33.70
187817,-32.70
187930,-34.40
188043,-35.00
188156,-30.10
188269,-29.90
188382,-34.70
188495,-35.90
188608,-33.90
188721,-30.00
188834,-34.70
188947,-34.90
189060,-34.80
189173,-36.10
189286,-30.00
189399,-30.20
189512,-36.40
189625,-34.40
189738,-30.40
189851,-30.10
189964,-30.20
190077,-30.00
190190,-30.30
190303,-30.10
190416,-35.70
190529,-34.50
190642,-30.40
190755,-29.90
190868,-35.40
190981,-29.80
191094,-30.10
191207,-30.30
191320,-29.80
191433,-30.20
191546,-29.80
191659,-29.60
191772,-30.10
191885,-29.90
191998,-30.00
192111,-30.10
192224,-34.30
192337,-30.30
192450,-29.80
192563,-30.20
192676,-34.30
192789,-30.30
192902,-29.80
193015,-29.80
193128,-35.30
193241,-30.20
193354,-29.60
193467,-33.50
193580,-30.20
193693,-36.10
193806,-30.10
193919,-34.50
194032,-30.00
194145,-29.90
194258,-34.10
194371,-35.70
194484,-34.90
194597,-30.30
194710,-30.20
194823,-36.10
194936,-30.10
195049,-30.20
195162,-29.90
195275,-35.00
195388,-30.30
195501,-33.50
195614,-39.30
195727,-30.10
195840,-34.10
195953,-34.30
196066,-30.00
196179,-30.20
196292,-30.00
196405,-36.00
196518,-30.50
196631,-35.10
196744,-35.60
196857,-30.30
196970,-34.50
197083,-29.90
197196,-30.00
197309,-29.90
197422,-30.20
197535,-33.60
197648,-30.40
197761,-30.20
197874,-30.10
197987,-30.40
198100,-34.70
198213,-29.80
198326,-34.60
198439,-30.00
198552,-32.80
198665,-30.10
198778,-35.40
198891,-34.50
199004,-30.20
199117,-33.80
199230,-36.30
199343,-36.20
199456,-30.00
199569,-34.90
199682,-35.90
199795,-35.90
199908,-30.30
200021,-31.40
200134,-29.90
200247,-30.00
200360,-35.80
200473,-36.30
200586,-30.40
200699,-38.70
200812,-39.30
200925,-30.00
201038,-30.10
201151,-35.50
201264,-35.90
201377,-30.00
201490,-30.00
201603,-29.90
201716,-29.90
201829,-30.10
201942,-30.10
202055,-30.20
202168,-30.20
202281,-30.00
202394,-30.20
202507,-35.70
202620,-30.20
202733,-38.20
202846,-39.00
202959,-30.20
203072,-30.00
203185,-30.10
203298,-34.50
203411,-34.80
203524,-34.70
203637,-35.80
203750,-30.40
203863,-34.80
203976,-30.30
204089,-29.90
204202,-36.20
204315,-30.10
204428,-30.60
204541,-29.90
204654,-34.50
204767,-34.70
204880,-29.90
204993,-30.20
205106,-29.80
205219,-35.90
205332,-30.00
205445,-34.10
205558,-34.50
205671,-34.50
205784,-29.90
205897,-35.90
206010,-34.80
206123,-35.30
206236,-30.40
206349,-36.10
206462,-29.80
206575,-30.00
206688,-34.40
206801,-29.90
206914,-29.80
207027,-30.00
207140,-35.30
207253,-30.00
207366,-36.30
207479,-29.90
207592,-30.10
207705,-30.30
207818,-30.30
207931,-34.70
208044,-34.90
208157,-35.90
208270,-35.10
208383,-30.10
208496,-32.20
208609,-35.90
208722,-30.10
208835,-29.90
208948,-35.70
209061,-29.80
209174,-34.60
209287,-36.10
209400,-34.90
209513,-29.90
209626,-35.30
209739,-30.00
209852,-30.10
209965,-33.80
210078,-35.50
210191,-30.10
210304,-35.90
210417,-29.90
210530,-36.30
210643,-30.40
210756,-30.00
210869,-30.20
210982,-30.00
211095,-35.40
211208,-34.40
211321,-30.00
211434,-29.90
211547,-30.00
211660,-33.50
211773,-32.50
211886,-30.00
211999,-34.60
212112,-29.90
212225,-30.20
212338,-30.40
212451,-30.20
212564,-29.80
212677,-34.20
212790,-34.30
212903,-33.60
213016,-30.30
213129,-38.30
213242,-36.20
213355,-35.20
213468,-30.20
213581,-33.50
213694,-34.60
213807,-30.10
213920,-29.90
214033,-35.80
214146,-30.00
214259,-35.00
214372,-30.00
214485,-37.60
214598,-38.80
214711,-36.30
214824,-35.70
214937,-35.70
215050,-36.00
215163,-30.30
215276,-30.40
215389,-34.30
215502,-30.40
215615,-34.70
215728,-30.20
215841,-35.00
215954,-30.30
216067,-35.30
216180,-35.90
216293,-30.10
216406,-30.00
216519,-30.10
216632,-36.30
216745,-30.00
216858,-30.00
216971,-30.00
217084,-34.80
217197,-35.80
217310,-29.90
217423,-34.50
217536,-35.70
217649,-32.90
217762,-30.30
217875,-30.00
217988,-30.50
218101,-39.90
218214,-34.20
218327,-29.80
218440,-34.10
218553,-35.00
218666,-34.50
218779,-34.70
218892,-35.70
219005,-29.60
219118,-34.50
219231,-30.00
219344,-35.70
219457,-35.40
219570,-29.90
219683,-35.70
219796,-34.40
219909,-30.50
220022,-29.80
220135,-35.80
220248,-35.70
220361,-29.80
220474,-34.60
220587,-36.20
220700,-34.70
220813,-30.20
