Timestamp(ms),Corrente(mA)
82501,-29.20
82614,-33.60
82727,-29.50
82840,-33.80
82953,-29.30
83066,-29.40
83179,-29.20
83292,-33.90
83405,-32.20
83518,-29.70
83631,-29.50
83744,-33.90
83857,-29.50
83970,-29.90
84083,-34.20
84196,-33.50
84309,-29.50
84422,-35.30
84535,-29.40
84648,-30.20
84761,-29.50
84874,-34.20
84987,-35.20
85100,-29.50
85213,-33.40
85326,-32.10
85439,-29.60
85552,-33.70
85665,-29.30
85778,-29.60
85891,-29.30
86004,-34.10
86117,-34.90
86230,-35.10
86343,-29.60
86456,-34.80
86569,-29.90
86682,-29.30
86795,-33.90
86908,-34.70
87021,-34.20
87134,-35.30
87247,-29.50
87360,-33.70
87473,-29.40
87586,-29.50
87699,-33.80
87812,-35.50
87925,-34.20
88038,-29.80
88151,-29.30
88264,-29.30
88377,-29.80
88490,-38.30
88603,-38.20
88716,-29.50
88829,-33.60
88942,-29.50
89055,-29.30
89168,-29.60
89281,-29.70
89394,-34.10
89507,-29.40
89620,-33.80
89733,-33.50
89846,-29.70
89959,-29.30
90072,-29.50
90185,-37.10
90298,-38.20
90411,-33.80
90524,-29.60
90637,-29.30
90750,-33.70
90863,-29.30
90976,-29.50
91089,-34.40
91202,-29.20
91315,-34.10
91428,-29.70
91541,-29.30
91654,-29.30
91767,-38.00
91880,-38.40
91993,-29.30
92106,-29.30
92219,-35.40
92332,-29.70
92445,-35.30
92558,-34.70
92671,-29.10
92784,-33.90
92897,-35.20
93010,-29.80
93123,-33.80
93236,-34.80
93349,-35.30
93462,-32.30
93575,-29.60
93688,-30.20
93801,-29.40
93914,-29.50
94027,-29.60
94140,-38.40
94253,-38.00
94366,-29.90
94479,-29.40
94592,-33.70
94705,-29.40
94818,-34.70
94931,-35.50
95044,-35.30
95157,-29.30
95270,-29.70
95383,-35.30
95496,-29.30
95609,-33.80
95722,-33.60
95835,-29.70
95948,-30.00
96061,-29.40
96174,-29.30
96287,-29.30
96400,-32.20
96513,-29.30
96626,-29.40
96739,-29.40
96852,-34.00
96965,-34.00
97078,-29.80
97191,-29.60
97304,-33.70
97417,-29.30
97530,-29.50
97643,-33.70
97756,-29.60
97869,-34.20
97982,-34.00
98095,-35.40
98208,-29.90
98321,-29.50
98434,-33.70
98547,-29.20
98660,-29.40
98773,-29.60
98886,-33.70
98999,-33.30
99112,-29.30
99225,-29.50
99338,-29.80
99451,-39.10
99564,-38.30
99677,-35.40
99790,-29.60
99903,-33.90
100016,-32.80
100129,-29.60
100242,-29.10
100355,-35.10
100468,-33.90
100581,-34.10
100694,-29.40
100807,-29.40
100920,-32.40
101033,-34.20
101146,-33.90
101259,-35.10
101372,-35.10
101485,-33.80
101598,-29.80
101711,-34.00
101824,-29.20
101937,-35.10
102050,-29.60
102163,-29.50
102276,-35.30
102389,-34.40
102502,-29.30
102615,-33.80
102728,-30.10
102841,-29.10
102954,-31.60
103067,-34.30
103180,-35.10
103293,-34.40
103406,-29.20
103519,-29.50
103632,-29.40
103745,-29.40
103858,-29.40
103971,-29.10
104084,-34.60
104197,-29.50
